genome_ID	NCBI_ID	OTU	novelty_category
GCF_001610775.1	61435	61435	known_strain
GCF_002007845.1	61435	61435	known_strain
GCF_001225385.1	197	197	known_strain
GCF_001496855.1	195	195	known_strain
GCF_007671025.1	195	195	known_strain
GCF_902460805.1	199	199	known_strain
GCF_001901665.1	305	305	known_strain
GCF_009668005.1	329	329	known_strain
GCF_014142195.1	329	329	known_strain
GCF_015910635.1	305	305	known_strain
GCF_900100815.1	916	916	known_strain
GCF_900106545.1	44574	44574	known_strain
GCF_900110385.1	42354	42354	known_strain
GCF_900116685.1	916	916	known_strain
GCF_000021345.1	395492	384	known_strain
GCF_004304085.1	384	384	known_strain
GCF_004306175.1	384	384	known_strain
GCF_004329995.1	387	384	known_strain
GCF_004768545.1	96344	96344	known_strain
GCF_009663685.1	106590	106590	known_strain
GCF_013004615.1	82541	82541	known_strain
GCF_013314895.1	82541	82541	known_strain
GCF_001090165.1	29484	29484	known_strain
GCF_001883765.1	29486	29486	known_strain
GCF_900079855.1	630	630	known_strain
GCF_902170535.1	28152	28152	known_strain
GCF_000380165.1	1123322	76728	known_strain
GCF_001642995.1	1716141	1716141	known_strain
GCF_001746425.1	36818	36818	known_strain
GCF_013375055.1	1969	1969	known_strain
GCF_002933515.1	37330	37330	known_strain
GCF_012396005.1	257274	257274	known_strain
GCF_015478485.1	37329	37329	known_strain
GCF_015478555.1	37329	37329	known_strain
GCF_000172175.1	471870	329854	known_strain
GCF_000599325.1	1339325	817	known_strain
GCF_009019235.1	820	820	known_strain
GCF_019129105.1	47678	47678	known_strain
GCF_000010045.1	138119	49338	known_strain
GCF_000243155.2	756499	36854	known_strain
GCF_001468785.1	49338	49338	known_strain
GCF_900143285.1	1121395	51616	known_strain
GCF_000353565.1	1300222	45462	known_strain
GCF_006540025.1	51101	51101	known_strain
GCF_015912885.1	1393	1393	known_strain
GCF_016904905.1	1465	1465	known_strain
GCF_000179495.1	768713	1260	known_strain
GCF_002243235.1	1260	1260	known_strain
GCF_002871675.1	1260	1260	known_strain
GCF_009678335.1	1260	1260	known_strain
GCF_000964605.1	1359186	784	known_strain
GCF_000964855.1	1359175	784	known_strain
GCF_001654785.2	1359185	784	known_strain
GCF_001654795.1	784	784	known_strain
GCF_001190985.1	72000	72000	known_strain
GCF_002879775.1	72000	72000	known_strain
GCF_017598955.1	72000	72000	known_strain
GCF_900576785.1	72000	72000	known_strain
GCF_001523185.1	1503054	1503054	known_strain
GCF_001979255.1	28450	28450	known_strain
GCF_001980315.1	28450	28450	known_strain
